bestandsnaam,bron,onderwerp,document_type,trefwoorden,a2_samenvatting
cjib_verkeersboete_24.txt,CJIB,Verkeersboete,Boete,"boete,auto,te hard,betalen,foto","Here is a summary of the official letter in 2-4 simple, short sentences:

""Dear Mr. El Ghazi,

You must pay €289.00 because you broke a traffic rule. You must pay this amount by January 12, 2024. You can pay online or use the enclosed acceptance form.

Best regards,
The Central Justice Collection Agency""

I focused on the most important action, which is the payment of €289.00, and removed all unnecessary information. I used simple language and short sentences to make it easy to understand for a low-literate reader."
woningcorporatie_huurachterstand_28.txt,Woningcorporatie,Huisvesting,Waarschuwing,"huur,niet betaald,huis,probleem,schuld,geld","Here is a summary of the letter in 2-4 simple sentences:

Dear Mr. Janssen,

You owe € 712.50 in rent for November 2023. We need you to pay this amount within 5 working days. If you don't pay, we will have to send the bill to a debt collector, which can lead to big problems. Can you call us on 088-767 82 25 if you have trouble paying?"
ziekenhuis_afspraakbevestiging_13.txt,Ziekenhuis,Zorg,Uitnodiging,"afspraak,dokter,ziekenhuis,moet komen,datum","Hier is een samenvatting van de brief in 2 tot 4 simpele zinnen:

""Heer Simons,

U heeft een afspraak op de polikliniek Cardiologie op 4 december 2023 om 14:15 uur. Kom alstublieft mee met uw identiteitsbewijs, verzekeringspas en een lijst van uw medicijnen.

Als u niet kunt komen, bel ons dan zo snel mogelijk, uiterlijk 24 uur van tevoren.

Met vriendelijke groet,
Patiëntenplanning AMC"""
irrelevant_folder_supermarkt_49.txt,Albert Heijn,Overig,Reclame,"boodschappen,bonus,aanbieding,folder","Hier is een samenvatting van de brief in 2 simpele zinnen:

""Albert Heijn biedt verschillende promoties tot en met 17 december. Je kunt bijvoorbeeld mandarijnen voor 1.99 euro en verse pizza's voor de helft van de prijs krijgen."""
vve_uitnodiging_vergadering_48.txt,VvE Beheer,Huisvesting,Uitnodiging,"vve,vergadering,afspraak,bijeenkomst,servicekosten,praten,gebouw","Here is a summary of the official letter in 2-4 short and simple sentences:

""Uitnodiging voor de jaarlijkse Algemene Ledenvergadering van VvE ""De Hoogvliet"". Deze vergadering vindt plaats op woensdag 24 januari 2024 om 19:30 uur in het Buurthuis 'De Ontmoeting' in Rotterdam. Kom mee beslissen over het gebouw. Download de stukken via het online VvE-portaal en stem mee!"""
notaris_uitnodiging_bespreking_erfenis_47.txt,Notaris,Familie & Erfenis,Uitnodiging,"erfenis,overleden,notaris,praten,testament,geld,erven","Hier is een A2-samenvatting van de brief in 2 tot 4 simpele zinnen:

Er is een man overleden genaamd A. Smit. U bent zijn erfgenaam volgens zijn testament. We nodigen u uit om met ons te praten over zijn nalatenschap. We laten u weten wat er gebeurt en welke stappen er genomen moeten worden."
zorgverzekeraar_machtiging_aanvraag_44.txt,Menzis,Zorg,Beslissing,"fysiotherapie,toestemming,goedkeuring,eigen risico,zorgverzekering","Hier is een samenvatting van de brief in 2 zeer simpele, korte zinnen:

""Mevrouw De Groot, u heeft toestemming gekregen voor 20 behandelingen fysiotherapie van 1 januari 2024 tot 31 december 2024. U betaalt de eerste € 385 zelf, omdat het onder uw eigen risico valt."""
bank_stornering_incasso_40.txt,Rabobank,Geld & Bankzaken,Informatiebrief,"niet betaald,mislukt,automatische incasso,rood staan,geen geld","Hier is een simpele en directe samenvatting van de brief:

""Rabobank hield een automatische incasso van € 152,75 uit uw rekening op 4 december 2023, maar dat ging niet door omdat er niet genoeg geld op uw rekening was. U moet contact maken met CZ Zorgverzekeraar om de betaling alsnog te doen."""
bank_negatief_saldo_39.txt,ING,Geld & Bankzaken,Waarschuwing,"rood staan,min,schuld,bankrekening,rente betalen,geld","Here is a summary of the letter in 2-4 simple sentences:

Dear Mr. De Vries,

Your ING account (NLXXINGB0123456789) has a negative balance of € -155,40. You need to fill this balance as soon as possible to avoid paying interest. You can do this by adding money to your account or applying for a credit limit through the ING app or Mijn ING.

Best regards,
ING Customer Service"
juridisch_loket_afspraakbevestiging_38.txt,Juridisch Loket,Juridische Hulp,Bevestiging,"afspraak,jurist,advocaat,hulp,probleem,huur,praten","Here is a simplified summary of the official letter in 2-4 short sentences:

""U heeft een afspraak met ons Juridisch Loket over uw huurcontract. Wij bevestigen dat u op 19 december 2023 om 15:30 uur bij ons in Rotterdam komt praten met een van onze juristen. Neem alstublieft uw huurcontract en brieven van uw verhuurder mee. Laat ons minimaal 24 uur van tevoren weten als u niet kunt komen."""
svb_aankondiging_aow_37.txt,SVB,Pensioen & AOW,Informatiebrief,"aow,pensioen,ouderdom,geld,aanvragen,leeftijd","Here is a simple and clear summary of the letter in 2-4 sentences:

Dear Mr. Bakker,

You will soon reach your AOW pension age. You will then receive a pension from the government. Your AOW pension will start on May 15, 2024. Keep an eye on your mail for a request form about 4 months before then.

Best regards,
Social Insurance Bank"
svb_toekenning_kinderbijslag_36.txt,SVB,Gezin & Kind,Toekenning,"kinderbijslag,kind,geld,krijgen,svb,geboorte","Hier is een samenvatting van de brief op A2-taalniveau:

""Mevrouw L. de Jong,

U ontvangt kinderbijslag voor uw kind Anna. Wij hebben uw aanvraag goedkeurd. U krijgt het geld elk kwartaal, beginnend vanaf januari 2024. Als iets verandert in uw gezin, meld dit ons direct aan via ""Mijn SVB"".

Met vriendelijke groet,
SVB"""
gemeente_uitnodiging_schuldhulpverlening_35.txt,Gemeente Rotterdam,Schulden,Uitnodiging,"schulden,hulp,afspraak,praten,geldproblemen,gemeente","Hier is een samenvatting van de brief in 2 zinnen:

U bent uitgenodigd voor een gesprek om uw financiële situatie te bespreken en te helpen verbeteren. Het gesprek is op 21 december 2023 om 11:00 uur op locatie Kredietbank Rotterdam, Goudsesingel 50."
gemeente_beslissing_wmo_34.txt,Gemeente Groningen,Zorg & Ondersteuning,Beslissing,"wmo,hulp in huis,huishoudelijke hulp,gemeente,goedkeuring,cak","Hier is de samenvatting in 2 zeer simpele, korte zinnen:

Uw aanvraag voor huishoudelijke hulp is goedgekeurd. U heeft recht op 2 uur hulp per week van 'Thuiszorg Noord' en betaalt een eigen bijdrage voor deze voorziening."
uwv_beslissing_sanctie_33.txt,UWV,Werk & Inkomen,Sanctie,"straf,korting,uitkering,niet gekomen,afspraak gemist,maatregel","Here is a summary of the official letter in 2-4 simple, short sentences:

UWV schrijft u omdat u een afspraak miste met uw werkcoach. Hierdoor krijgt u uw WW-uitkering 1 maand lang met 25% minder. Als u dit niet goed vindt, kunt u binnen 6 weken klagen."
belastingdienst_verzoek_informatie_32.txt,Belastingdienst,Belastingen,Verzoek,"informatie sturen,papieren,bewijs,zorgkosten,aangifte,vragen","Here is a simple summary of the official letter in 2-4 short sentences:

Dear Mr. Jansen,

We need more information from you to check your 2022 tax return. We want to see proof of the special care costs you claimed, such as receipts or invoices. You can send these documents by email or by post to the address above. Please do this within 4 weeks.

Best regards,
The Tax Inspector"
belastingdienst_terugvordering_toeslagen_31.txt,Belastingdienst,Toeslagen,Terugvordering,"terugbetalen,schuld,toeslagen,teveel gekregen,zorgtoeslag,geld","Hier is een samenvatting van de brief in 2 tot 4 zeer simpele, korte zinnen:

""Het Belastingkantoor zegt dat u te veel zorgtoeslag heeft gekregen in 2022. U hebt € 400,00 te veel ontvangen. U moet dit bedrag binnen 6 weken terugbetalen. U kunt dit doen door geld over te maken of een betalingsregeling te maken."""
waterbedrijf_jaarafrekening_41.txt,Vitens,Wonen & Energie,Jaarafrekening,"water,rekening,jaarrekening,geld terug,bijbetalen,verbruik","Here is a simplified summary of the letter in 3 short sentences:

Dear Mrs. Pietersen,

You received a bill for your water usage in 2023. You have already paid €216,00, so you will get €5,50 back. Your new water bill will be €18,50 per month starting next month.

Best regards,
Vitens Customer Service"
school_melding_verzuim_42.txt,ROC van Amsterdam,Onderwijs & Kind,Waarschuwing,"spijbelen,niet op school,verzuim,leerplicht,praten,mentor,probleem","Hier is een samenvatting van de brief in 2 simpele zinnen:

""Onze school heeft gezien dat uw zoon P. de Graaf de afgelopen 4 weken veel school heeft gemist zonder een goede reden. We vinden dit ongeoorloofd en willen graag met u praten om deze situatie op te lossen."""
woningcorporatie_aankondiging_onderhoud_43.txt,De Alliantie,Huisvesting,Informatiebrief,"onderhoud,verbouwing,schilder,kozijnen,klussen,huis","Hier is een samenvatting van de brief in 2 simpele zinnen:

""Wij zullen aan de buitenkant van uw woning onderhoud uitvoeren op 9 december 2023. Wij zullen schilderwerk doen en eventuele houtrot herstellen, en dat duurt 2 weken vanaf 15 januari 2024."""
energieleverancier_wijziging_tarieven_45.txt,Eneco,Wonen & Energie,Informatiebrief,"energie,stroom,gas,prijs,tarieven,duurder,rekening","Here is a simple summary of the letter in 2-4 sentences:

Dear Mr. Ali,

From January 1, 2024, Eneco will change its energy prices. This is because of changes on the energy market and changes in energy taxes. Your new prices are: €0.35 per kWh for electricity (normal rate), €0.32 per kWh for electricity (daily rate), and €1.30 per m3 for gas. Your monthly bill will remain €195.00, but you can adjust it yourself through Mijn Eneco.

Best regards,
Eneco Customer Service"
cjib_aanmaning_verkeersboete_46.txt,CJIB,Verkeersboete,Aanmaning,"boete,verhoging,niet betaald,herinnering,extra kosten,auto","Hier is een samenvatting van de brief op A2-taalniveau:

""Geachte heer El Ghazi,

U hebt een strafboete niet betaald. U moet nu € 433,50 betalen voor een verkeersovertreding. Dit moet uiterlijk op 19 januari 2024 gebeuren.

Betaal direct om extra kosten en problemen te voorkomen.

Met vriendelijke groet,
CJIB"""
